Player,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,Age,Height,Weight,Pos,Shoots,UFA Year,Contract Type,Signing Status,Expiry Status,Start Yr,Expiry Yr,Agent
Noel Hoefenmayer,"$845,000","$845,000",1,1%,25,72in,192lbs,D,L,2026,Entry Level,No Signing Status,RFA +arb,2023,2023-24,Allain Roy
Adam Wilsby,"$842,500","$855,000",2,1%,23,73in,192lbs,D,L,2028,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Joakim Persson
Jamieson Rees,"$839,167","$832,500",3,1%,23,71in,172lbs,C,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Wade Arnott
Axel Rindell,"$838,750","$825,000",2,1%,23,72in,192lbs,D,R,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Mark Gandler & Todd Diamond
Max Ellis,"$838,750","$852,500",2,1%,24,69in,172lbs,RW,R,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Matt Federico
Angus Crookshank,"$838,333","$855,000",3,1%,24,70in,181lbs,LW,L,2027,Entry Level,No Signing Status,RFA +arb,2021,2023-24,Ross Gurney
Curtis Douglas,"$837,500","$850,000",2,1%,24,81in,243lbs,C,L,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Patrick Morris
Dmitry Ovchinnikov,"$835,000","$855,000",3,1%,21,70in,165lbs,C,L,2030,Entry Level,No Signing Status,RFA,2021,2023-24,Shumi Babaev
Nick Cicek,"$835,000","$847,500",2,1%,23,75in,201lbs,D,L,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Allain Roy
Pavel Gogolev,"$834,167","$825,000",3,1%,24,73in,198lbs,LW,L,2027,Entry Level,No Signing Status,RFA,2021,2023-24,Randy Robitaille
Alex Steeves,"$834,167","$852,500",3,1%,24,72in,196lbs,C,L,2027,Entry Level,No Signing Status,RFA +arb,2021,2023-24,Allain Roy
Adam Klapka,"$832,500","$845,000",2,1%,23,80in,236lbs,RW,R,2028,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Gerry Johannson
Yevgeni Oksentyuk,"$828,333","$820,000",3,1%,23,68in,163lbs,RW,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Daniel Milstein
Ilya Solovyov,"$828,333","$845,000",3,1%,23,75in,207lbs,D,L,2028,Entry Level,No Signing Status,RFA +arb,2021,2023-24,Daniel Milstein
Arber Xhekaj,"$828,333","$835,000",3,1%,23,76in,238lbs,D,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Viktor Saljanin
Pierre-Olivier Joseph,"$825,000","$850,000",2,1%,24,74in,185lbs,D,L,2027,Standard,RFA,RFA +arb,2022,2023-24,Olivier Fortier
Nick Blankenburg,"$825,000","$850,000",2,1%,25,69in,176lbs,D,R,2025,Standard,RFA,UFA-Group6,2022,2023-24,Blake Robson
Joseph Veleno,"$825,000","$825,000",1,1%,24,73in,205lbs,C,L,2027,Standard,RFA,RFA +arb,2023,2023-24,Philippe Lecavalier
Calen Addison,"$825,000","$825,000",1,1%,24,71in,172lbs,D,R,2027,Standard,RFA,RFA +arb,2023,2023-24,Craig Oster
