Player,Team,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,UFA Year,Contract Type,Expiry Status,Expiry Yr,Agent
Emil Bemstrom,PIT,"$900,000","$900,000",2.0,1.1%,2026.0,Standard,RFA +arb,2023-24,Claude Lemieux
Jacob Peterson,S.J,"$775,000","$775,000",1.0,0.9%,2027.0,Standard,RFA +arb,2023-24,Craig Oster
Cole Guttman,CHI,"$950,000","$950,000",2.0,1.1%,2026.0,Entry Level,RFA +arb,2023-24,Pat Brisson
Carson Meyer,CBJ,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Allain Roy
Carson Meyer,CBJ,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Allain Roy
Sean Walker,PHI,"$2,650,000","$3,350,000",4.0,3.2%,2022.0,Standard,UFA,2023-24,Cameron Stewart
Sean Durzi,ARI,"$1,700,000","$2,000,000",2.0,2%,2026.0,Standard,RFA +arb,2023-24,Allan Walsh
Parker Kelly,OTT,"$762,500","$775,000",2.0,0.9%,2026.0,Standard,RFA +arb,2023-24,Allain Roy
James Hamblin,EDM,"$807,500","$820,000",2.0,1%,2026.0,Entry Level,RFA +arb,2023-24,Rick Valette
Kiefer Sherwood,NSH,"$775,000","$775,000",1.0,0.9%,2022.0,Standard,UFA,2023-24,Allain Roy
Eric Robinson,CBJ,"$1,600,000","$1,700,000",2.0,1.9%,2022.0,Standard,UFA,2023-24,Todd Reynolds
Sheldon Rempal,VGK,"$762,500","$775,000",2.0,0.9%,2023.0,Standard,UFA,2023-24,Drew Shore
Oliver Wahlstrom,NYI,"$874,125","$874,125",1.0,1%,2027.0,Standard,RFA +arb,2023-24,Pat Brisson
Isac Lundestrom,ANA,"$1,800,000","$1,800,000",2.0,2.2%,2027.0,Standard,RFA +arb,2023-24,Peter Wallen
Ty Emberson,S.J,"$775,000","$775,000",1.0,0.9%,2027.0,Standard,RFA +arb,2023-24,Daniel Plante
Jack Drury,CAR,"$925,000","$925,000",3.0,1.1%,2027.0,Entry Level,RFA +arb,2023-24,No Agent
Jonathan Gruden,PIT,"$775,000","$775,000",1.0,0.9%,2027.0,Standard,RFA +arb,2023-24,Cameron Stewart
Ty Dellandrea,DAL,"$900,000","$900,000",1.0,1.1%,2028.0,Standard,RFA +arb,2023-24,Todd Reynolds
Barrett Hayton,ARI,"$1,775,000","$2,130,000",2.0,2.1%,2027.0,Standard,RFA +arb,2023-24,Patrick Morris
Akil Thomas,L.A,"$775,000","$775,000",1.0,0.9%,2027.0,Standard,RFA +arb,2023-24,Eustace King
Liam Foudy,NSH,"$762,500","$775,000",2.0,0.9%,2027.0,Standard,RFA +arb,2023-24,Thane Campbell
