Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Kyle Palmieri,NYI,"C, R",69,947.18333333333,13,14,7,7,27,56.25,136,9.56,14.71,231,186,152,70,4,13,53,21,19,1,1,17,17,15,73,65,14,9,21,30.00
Ryan O'Reilly,STL,C,78,1136.15,12,29,18,11,41,66.13,121,9.92,14.14,180,154,135,62,6,8,10,5,5,0,0,22,19,43,18,56,29,630,484,56.55
Kyle Clifford,"STL, TOR",L,25,214.33333333333,1,3,1,2,4,50.00,27,3.70,1.9,42,34,24,9,2,1,31,7,3,3,1,8,5,5,50,56,5,2,4,33.33
Alex Chiasson,VAN,R,67,652.05,7,5,4,1,12,42.86,71,9.86,6.76,108,87,70,31,5,10,24,8,7,0,1,9,10,7,66,78,18,9,11,45.00
Jakob Silfverberg,ANA,R,53,694.11666666667,4,12,6,6,16,66.67,94,4.26,6.95,146,124,71,33,8,11,24,12,12,0,0,7,10,26,15,51,28,1,10,9.09
John Tavares,TOR,C,79,1187.4833333333,17,33,12,21,50,70.42,167,10.18,21.93,317,249,227,108,10,25,26,13,13,0,0,17,59,36,85,81,43,647,423,60.47
Victor Hedman,T.B,D,82,1591.0166666667,14,33,17,16,47,46.08,164,8.54,9.01,345,246,125,24,8,23,32,16,16,0,0,8,45,40,84,88,43,0,0,-
Matt Duchene,NSH,C,78,1230.45,27,30,16,14,57,69.51,165,16.36,18.63,276,228,192,81,7,13,34,14,14,0,0,18,57,30,29,75,25,82,88,48.24
Evander Kane,EDM,L,43,712.98333333333,17,15,7,8,32,66.67,127,13.39,14.8,221,173,131,67,9,17,58,25,24,0,1,14,24,15,131,72,9,9,9,50.00
Brayden Schenn,STL,C,62,921.1,17,24,18,6,41,63.08,83,20.48,9.62,152,115,109,45,6,7,31,11,8,3,0,10,21,38,115,37,16,267,276,49.17
Oliver Ekman-Larsson,VAN,D,79,1460.2,2,17,9,8,19,31.15,132,1.52,5.28,285,190,69,9,3,20,40,20,20,0,0,20,39,21,99,112,62,0,0,-
Nazem Kadri,COL,C,71,1056.0666666667,20,38,27,11,58,77.33,172,11.63,16.09,307,230,149,55,7,18,61,22,18,3,1,29,27,32,46,120,17,456,451,50.28
Ryan Ellis,PHI,D,4,74.333333333333,1,2,1,1,3,100.00,5,20.00,0.2,11,7,3,0,0,0,0,0,0,0,0,0,5,2,1,4,6,0,0,-
Calvin de Haan,CHI,D,69,1186.45,4,4,2,2,8,21.05,102,3.92,4.13,218,146,54,6,5,7,33,15,14,1,0,10,50,16,134,80,142,0,0,-
