Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Tobias Bjornfot,L.A,D,70,76.483333333333,0,0,0,0,0,0.00,1,0.00,0.04,1,1,0,0,0,0,0,0,0,0,0,1,4,0,4,5,2,0,0,-
Jordan Spence,L.A,D,24,13.866666666667,0,0,0,0,0,0.00,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
Vladislav Kolyachonok,ARI,D,32,16.466666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,-
Vasily Podkolzin,VAN,R,79,6.4166666666667,0,0,0,0,0,-,1,0.00,0.05,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-
Alex Newhook,COL,C,71,6.4,0,0,0,0,0,-,1,0.00,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.00
Ilya Mikheyev,TOR,R,53,73.95,4,0,0,0,4,80.00,17,23.53,2.06,20,20,15,7,2,2,0,0,0,0,0,1,3,4,4,3,0,0,1,0.00
Arttu Ruotsalainen,BUF,C,18,7.9333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.67
Joel Kiviranta,DAL,L,56,4.1166666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-
Aliaksei Protas,WSH,C,33,0.4,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Santeri Hatakka,S.J,D,9,2.2166666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Zac Jones,NYR,D,12,0.15,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Matias Maccelli,ARI,L,23,1.4166666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Nicholas Abruzzese,TOR,C,9,0.11666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Tyce Thompson,N.J,R,2,1.3333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Zachary Hayes,VGK,D,3,0.61666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Drew O'Connor,PIT,L,22,1.7,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Cole Smith,NSH,L,8,6.0,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-
Jack Ahcan,BOS,D,6,0.11666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Braden Schneider,NYR,D,43,21.816666666667,0,0,0,0,0,0.00,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,-
