Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Cale Makar,COL,D,77,294.03333333333,9,25,12,13,34,66.67,56,16.07,3.97,120,77,28,1,1,7,4,2,2,0,0,1,0,8,0,1,8,0,0,-
Ian Mitchell,CHI,D,8,1.7333333333333,0,1,1,0,1,100.00,0,-,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Robin Salo,NYI,D,21,30.966666666667,0,2,1,1,2,66.67,6,0.00,0.37,11,9,1,0,0,3,0,0,0,0,0,0,1,1,0,2,0,0,0,-
Lias Andersson,L.A,C,20,11.966666666667,0,1,1,0,1,100.00,1,0.00,0.13,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3,2,60.00
Erik Brannstrom,OTT,D,53,112.75,0,6,2,4,6,46.15,3,0.00,0.53,15,9,4,0,0,3,4,2,2,0,0,0,6,0,4,5,4,0,0,-
Alexandre Texier,CBJ,C,36,3.2,0,0,0,0,0,-,0,-,0.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Filip Chytil,NYR,C,67,71.916666666667,0,1,1,0,1,25.00,10,0.00,1.89,23,17,18,9,0,4,0,0,0,0,0,2,1,0,2,4,0,15,11,57.69
Alex Iafallo,L.A,L,79,218.36666666667,3,3,2,1,6,33.33,43,6.98,7.01,70,61,54,28,0,6,0,0,0,0,0,0,2,3,1,2,0,0,0,-
David Kampf,TOR,C,82,6.7333333333333,0,0,0,0,0,0.00,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,30.00
Neal Pionk,WPG,D,77,168.18333333333,1,11,4,7,12,63.16,26,3.85,1.69,50,35,13,0,0,1,6,3,3,0,0,2,4,2,8,4,5,0,0,-
Calle Rosen,STL,D,18,2.0833333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Radim Simek,S.J,D,36,4.9833333333333,0,0,0,0,0,0.00,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Jan Rutta,T.B,D,76,2.0666666666667,0,0,0,0,0,-,0,-,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Gustav Lindstrom,DET,D,63,3.4833333333333,0,0,0,0,0,-,0,-,0.05,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Eetu Luostarinen,FLA,C,78,7.7666666666667,0,1,1,0,1,50.00,1,0.00,0.11,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,5,5,50.00
Fabian Zetterlund,N.J,L,14,21.616666666667,0,0,0,0,0,-,6,0.00,0.65,7,7,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-
Jacob Bryson,BUF,D,73,65.916666666667,1,6,6,0,7,70.00,3,33.33,0.12,6,4,1,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,-
Emil Bemstrom,CBJ,C,41,44.783333333333,0,0,0,0,0,0.00,9,0.00,0.9,19,14,10,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-
