"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"201","Mark Jankowski","NSH","C","25","273.01666666667","314","239","56.78","231","164","58.48","157","123","56.07","14","7","66.67","14.38","10.05","58.85","148","104","58.73","55","40","57.89","7","2","77.78","93","64","59.24","3","1","75.00","178","142","55.63","4","3","57.14","8.92","94.31","1.032","54","45","37","236","59.34","105","66","63","62.50"
"260","Jake Guentzel","CAR, PIT","C, L","61","997.3","1298","995","56.61","940","757","55.39","656","519","55.83","74","50","59.68","67.73","52.26","56.45","648","491","56.89","258","201","56.21","33","27","55.00","390","290","57.35","18","17","51.43","804","529","60.32","19","4","82.61","11.28","90.37","1.016","217","267","94","681","69.77","451","364","255","63.88"
"285","Nathan MacKinnon","COL","C","75","1372.85","1712","1315","56.56","1229","955","56.27","861","660","56.61","110","73","60.11","82.73","64.07","56.36","880","580","60.27","347","233","59.83","50","33","60.24","533","347","60.57","40","21","65.57","1049","795","56.89","14","14","50.00","12.78","88.94","1.017","357","293","136","816","72.41","691","448","365","65.44"
"395","Travis Konecny","PHI","R","70","1057.9","1330","1022","56.55","928","708","56.72","664","493","57.39","66","61","51.97","53.35","52.08","50.60","595","495","54.59","236","191","55.27","28","27","50.91","359","304","54.15","22","25","46.81","824","587","58.40","15","9","62.50","9.94","87.63","0.976","209","253","143","735","59.38","454","356","295","60.61"
"322","Kevin Fiala","L.A","L","74","1100.35","1243","956","56.53","924","667","58.08","645","457","58.53","54","48","52.94","59.27","45.58","56.53","575","445","56.37","226","160","58.55","30","20","60.00","349","285","55.05","13","17","43.33","732","566","56.39","9","8","52.94","8.37","89.50","0.979","166","212","144","797","53.55","340","322","307","52.55"
"394","Tommy Novak","NSH","C","64","772.45","903","695","56.51","649","497","56.63","455","363","55.62","41","42","49.40","39.07","36.05","52.00","451","312","59.11","169","115","59.51","19","12","61.29","282","197","58.87","14","16","46.67","514","374","57.88","6","10","37.50","9.01","88.43","0.974","134","122","35","671","79.29","300","212","106","73.89"
"344","Warren Foegele","EDM","L","73","906.3","1014","781","56.49","751","584","56.25","521","401","56.51","44","43","50.57","51.2","37.86","57.49","513","370","58.10","236","170","58.13","26","25","50.98","277","200","58.07","13","13","50.00","547","446","55.09","4","5","44.44","8.45","89.28","0.977","165","244","129","610","56.12","282","327","271","50.99"
"643","Adam Ginning","PHI","D","8","104.9","110","85","56.41","79","58","57.66","53","39","57.61","3","3","50.00","4.87","4.19","53.78","47","37","55.95","25","18","58.14","1","1","50.00","22","19","53.66","1","1","50.00","62","44","58.49","1","1","50.00","5.66","92.31","0.980","12","19","6","105","66.67","23","27","12","65.71"
"280","Artturi Lehkonen","COL","L","38","516.66666666667","587","454","56.39","415","329","55.78","298","221","57.42","36","26","58.06","27.67","21.45","56.33","306","186","62.20","129","73","63.86","16","11","59.26","177","113","61.03","15","6","71.43","342","293","53.86","5","6","45.45","12.08","88.24","1.003","112","107","69","372","61.88","211","165","155","57.65"
"532","Conor Timmins","TOR","D","22","310.08333333333","344","266","56.39","251","186","57.44","177","128","58.03","21","12","63.64","17.5","11.59","60.17","179","120","59.87","87","52","62.59","16","7","69.57","92","68","57.50","2","3","40.00","200","147","57.64","3","2","60.00","11.86","90.63","1.025","56","53","39","275","58.95","107","82","66","61.85"
"836","Brandt Clarke","L.A","D","16","195.11666666667","230","178","56.37","180","122","59.60","126","84","60.00","5","11","31.25","11.44","8.82","56.47","107","80","57.22","44","35","55.70","2","8","20.00","63","45","58.33","2","2","50.00","148","111","57.14","1","0","100.00","3.97","86.90","0.909","39","28","30","141","56.52","82","45","53","60.74"
"521","Trevor Moore","L.A","L","74","1072.3666666667","1244","964","56.34","938","664","58.55","655","465","58.48","56","49","53.33","60.68","44.8","57.53","535","443","54.70","221","174","55.95","31","23","57.41","314","269","53.86","11","17","39.29","737","567","56.52","12","7","63.16","8.55","89.46","0.980","154","245","150","729","50.66","302","355","309","49.43"
"581","Eetu Luostarinen","FLA","C","76","959.7","1073","834","56.27","734","620","54.21","492","400","55.16","35","37","48.61","47.8","37.22","56.22","440","351","55.63","173","151","53.40","19","21","47.50","267","200","57.17","11","7","61.11","677","495","57.76","3","8","27.27","7.11","90.75","0.979","184","240","147","731","55.59","327","305","261","55.61"
"789","Jean-Luc Foudy","COL","C","4","25.75","18","14","56.25","14","10","58.33","13","7","65.00","1","0","100.00","0.85","0.53","61.60","8","3","72.73","4","1","80.00","1","0","100.00","4","2","66.67","0","0","-","8","13","38.10","0","0","-","7.69","100.00","1.077","0","11","3","30","0.00","2","16","7","22.22"
"340","Brandon Montour","FLA","D","60","1139.3166666667","1321","1028","56.24","919","781","54.06","632","523","54.72","47","48","49.47","56.11","49.33","53.22","581","464","55.60","237","200","54.23","16","22","42.11","344","264","56.58","20","16","55.56","799","590","57.52","9","6","60.00","7.44","90.82","0.983","169","235","146","786","53.65","390","357","306","56.03"
"184","Phillip Danault","L.A","C","72","1033.3833333333","1181","921","56.18","897","642","58.28","627","447","58.38","54","42","56.25","58.14","44.02","56.91","525","424","55.32","219","168","56.59","31","18","63.27","306","256","54.45","11","17","39.29","686","553","55.37","10","5","66.67","8.61","90.60","0.992","143","243","153","698","48.31","286","344","305","48.39"
