"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"499","Frederic Allard","MTL","D","3","0.5","0.16666666666667","0","120","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","173.33","0.00","0","0","-","-","-","-","0","0","0","120","-","0","0","0","-"
"751","Alex Newhook","COL","C","82","3","0.036585365853659","0","120","0.00","0","60","0.00","0","40","0.00","0","0","-","0","4.4","0.00","0","60","0.00","0","0","-","0","0","-","0","80","0.00","0","0","-","0","86.67","0.00","0","0","-","-","100.00","1.00","0","0","0","160","-","0","0","0","-"
"546","Joona Koppanen","BOS","L","5","7.5166666666667","1.5033333333333","23.95","119.73","16.67","23.95","87.8","21.43","23.95","71.84","25.00","0","15.96","0.00","0.85","10.09","7.81","15.96","71.84","18.18","0","47.89","0.00","0","7.98","0.00","21.29","31.93","40.00","0","10.64","0.00","0","80.71","0.00","0","0","-","0.00","77.78","0.778","0","0","63.86","39.91","0.00","0","0","63.86","0.00"
"502","Carl Grundstrom","L.A","R","57","32.083333333333","0.56286549707602","9.35","119.69","7.25","7.48","84.16","8.16","7.48","71.06","9.52","0","14.96","0.00","0.28","9.26","2.92","3.74","71.06","5.00","1.87","29.92","5.88","0","9.35","0.00","2.49","54.86","4.35","0","7.48","0.00","2.7","86.44","3.03","0","0","-","0.00","78.95","0.789","0","14.96","31.79","74.81","0.00","1.87","16.83","35.53","5.00"
"428","Travis Konecny","PHI","R","60","110.85","1.8475","22.19","119.62","15.65","20.03","89.31","18.32","15.7","59.54","20.86","3.79","8.12","31.82","1.76","9.97","15.01","14.61","77.94","15.79","9.2","40.6","18.48","3.79","4.33","46.67","7.22","49.8","12.66","0","2.17","0.00","3.91","69.58","5.32","0","3.13","0.00","24.14","86.36","1.105","1.62","8.66","46.55","31.39","3.37","2.17","9.2","69.82","3.01"
"109","Brayden McNabb","VGK","D","82","165.61666666667","2.0197154471545","12.32","119.19","9.37","9.78","85.86","10.23","8.69","61.59","12.37","1.81","9.78","15.63","1.07","8.42","11.24","6.88","64.12","9.69","5.07","23.91","17.50","1.45","3.26","30.77","2.42","53.62","4.31","0.48","5.31","8.33","3.66","79.54","4.40","0","3.66","0.00","20.83","84.12","1.050","0","4.35","36.23","20.29","0.00","2.17","7.61","61.59","3.41"
"654","Mattias Samuelsson","BUF","D","55","152.15","2.7663636363636","13.41","119.09","10.12","10.65","99.38","9.68","9.86","69.8","12.38","0.39","10.65","3.57","0.5","9.97","4.77","5.13","71.77","6.67","2.76","29.97","8.43","0.39","5.92","6.25","3.15","55.73","5.36","0","4.73","0.00","3.99","75.19","5.04","0","1.71","0.00","4.00","84.75","0.887","0.79","7.89","40.22","20.51","1.92","2.76","11.83","64.28","4.12"
"84","Gustav Nyquist","CBJ, MIN","C, L","51","83.65","1.6401960784314","22.24","119.07","15.74","18.65","93.25","16.67","16.5","70.29","19.01","2.15","11.48","15.79","1.19","9.44","11.22","10.04","67.42","12.96","5.02","31.56","13.73","1.43","5.74","20.00","6.69","47.82","12.28","0","4.78","0.00","7.25","76.67","8.64","0","3.11","0.00","13.04","83.67","0.967","4.3","2.87","43.04","45.19","9.09","7.17","6.46","53.08","11.90"
"519","Tyson Jost","BUF, MIN","C","71","91.433333333333","1.28779342723","16.41","118.78","12.14","13.78","99.74","12.14","11.81","70.87","14.29","0.66","11.81","5.26","0.53","8.63","5.83","5.91","63","8.57","2.62","26.9","8.89","0.66","6.56","9.09","4.37","48.12","8.33","0","3.5","0.00","4.74","88.15","5.10","0","3.79","0.00","5.56","83.33","0.889","0","5.25","43.31","40.69","0.00","0","7.22","54.47","0.00"
"706","Simon Benoit","ANA","D","78","238.7","3.0602564102564","13.82","118.64","10.44","11.81","95.27","11.03","9.8","65.61","13.00","0","10.31","0.00","0.41","9.89","3.97","3.27","73.65","4.25","2.26","28.91","7.26","0","3.52","0.00","1.34","59.66","2.20","0","4.36","0.00","2.9","73.7","3.79","0","5.08","0.00","0.00","84.29","0.843","0.25","5.28","38.71","16.09","0.65","1.01","9.05","70.63","1.40"
"365","Nick Schmaltz","ARI","C","63","41.983333333333","0.66640211640212","24.3","118.62","17.00","22.87","94.32","19.51","21.44","75.74","22.06","1.43","14.29","9.09","2.53","10.18","19.91","18.58","80.03","18.84","7.15","25.72","21.74","0","4.29","0.00","15.24","72.41","17.39","1.91","5.72","25.00","4.13","59.87","6.45","0","8.26","0.00","6.67","81.13","0.878","2.86","7.15","47.16","77.17","5.71","4.29","7.15","58.59","6.82"
